1,,#uid,#ip,#domain,#url,#port,#date,#report-date,#note,#hash,#file type
2,,tdu-20200907-03-00,81.169.145[.]92,,http[:]//amsande43[.]de/cgi-bin/5m183nc58163/,80,2020/10/29,,,,
3,,tdu-20200907-03-00,81.169.145[.]164,,http[:]//gerdahaering[.]de/cgi-bin/file/PFsb/,80,2020/10/29,,,,
4,,tdu-20200907-03-00,81.169.145[.]84,,http[:]//admiralkirk[.]de/baualbum/aaLSeeodSJ/,80,2020/10/29,,,,
5,,tdu-20200907-03-00,81.169.145[.]82,,http[:]//altgen[.]org/cgi-bin/qSXLukiFZ/,80,2020/10/29,,,,
6,,tdu-20200907-03-00,81.169.145[.]78,,http[:]//gerdahaering[.]de/cgi-bin/file/PFsb/,80,2020/10/29,,,,
7,,EW-APT-202010-A,31.41.44[.]9,,,"80,443",2020/10/29,2020/10/13,,,
8,,EW-APT-202010-A,45.14.224[.]93,,,"80,443",2020/10/29,2020/10/13,,,
9,,EW-APT-202010-A,45.84.1[.]77,,,"80,443",2020/10/29,2020/10/13,,,
10,,EW-APT-202010-A,45.137.155[.]74,,,"80,443",2020/10/29,2020/10/13,,,
11,,EW-APT-202010-A,81.7.7[.]159,,,"80,443",2020/10/29,2020/10/13,,,
12,,EW-APT-202010-A,94.177.123[.]183,,,"80,443",2020/10/29,2020/10/13,,,
13,,EW-APT-202010-A,95.217.134[.]88,,,"80,443",2020/10/29,2020/10/13,,,
14,,EW-APT-202010-A,213.252.246[.]245,,,"80,443",2020/10/29,2020/10/13,,,
15,,EW-APT-202010-A,198.54.117[.]198,office-europe-update[.]online,,"80,443",2020/10/29,2020/10/13,,,
16,,EW-APT-202010-A,198.54.117[.]199,office-europe-update[.]online,,"80,443",2020/10/29,2020/10/13,,,
17,,EW-APT-202010-A,198.54.117[.]200,office-europe-update[.]online,,"80,443",2020/10/29,2020/10/13,,,
18,,EW-APT-202010-A,198.54.117[.]197,office-europe-update[.]online,,"80,443",2020/10/29,2020/10/13,,,
19,,EW-APT-202010-B,45.14.224[.]110,,,443,,2020/10/21,,72514163f3963eea864565ad9808d5c64d22cc7795af33a5e9a9dda0df7aea00,ELF
20,,EW-APT-202010-B,88.198.101[.]58,,,443,,2020/10/21,,,
21,,EW-APT-202010-B,95.179.143[.]32,,,443,,2020/10/21,,,
22,,EW-APT-202010-B,122.10.82[.]15,,,443,,2020/10/21,,,
23,,EW-APT-202010-B,139.162.112[.]52,,,443,,2020/10/21,,,
24,,EW-APT-202010-B,178.73.210[.]238,,,443,,2020/10/21,,,
25,,EW-APT-202010-B,188.119.112[.]225,,,443,,2020/10/21,,,
26,,EW-APT-202010-B,,fuck.wikaba[.]com,,443,,2020/10/21,,,
27,,EW-APT-202010-C,,,https[:]//maturicafe[.]com/polo,443,,2020/10/23,正規のWebサイトが改ざんされ、攻撃者に使用されている可能性あり,,
28,,EW-APT-202010-C,,,https[:]//industryarticleboard[.]com/article,443,,2020/10/23,正規のWebサイトが改ざんされ、攻撃者に使用されている可能性あり,,
29,,EW-APT-202010-C,,,https[:]//yellowcameleon[.]com/find,443,,2020/10/23,,,
30,,EW-APT-202010-C,,,https[:]//whitedragon[.]com/input,443,,2020/10/23,,,
31,,EW-APT-202010-C,,,https[:]//purpledragon[.]com/register,443,,2020/10/23,正規のWebサイトが改ざんされ、攻撃者に使用されている可能性あり,,
32,,EW-APT-202010-C,,,https[:]//aquadragon[.]com/login,443,,2020/10/23,,,
33,,EW-APT-202010-C,,,http[:]//3.90.97[.]16/doc/total.php,80,,2020/10/23,,,
34,,EW-APT-202010-C,,,http[:]//www.karin-store[.]com/data/config/total_manager.php,80,,2020/10/23,正規のWebサイトが改ざんされ、攻撃者に使用されている可能性あり,,
35,,EW-APT-202010-D,,,https[:]//coralcameleon[.]com/register,443,,2020/10/26,,,
36,,EW-APT-202010-D,,,https[:]//salmonrabbit[.]com/login,443,,2020/10/26,,,
37,,EW-APT-202010-D,,,https[:]//whitecameleon[.]com/find,443,,2020/10/26,,,
38,,EW-APT-202010-D,,,https[:]//whiterabbit[.]com/input,443,,2020/10/26,,,
39,,EW-APT-202010-D,,,https[:]//203.193.165[.]77,443,,2020/10/26,,,
40,,EW-APT-202010-D,,,http[:]//katawaku[.]jp/bbs/data/group/group-manager.php,80,,2020/10/26,正規のWebサイトが改ざんされ、攻撃者に使用されている可能性あり,,
41,,JPCERT-EW-APT-202012-A,,,https[:]//cathouse.neocities[.]org/it/,,,,,,
42,,JPCERT-EW-APT-202012-A,,,https[:]//cathouse.neocities[.]org/it/off365.html,,,,,,
43,,JPCERT-EW-APT-202101-A,167.179.65[.]11,,,80,,,,,
44,,JPCERT-EW-APT-202101-A,45.76.216[.]40,,,80,,,,,
45,,JPCERT-EW-APT-202102-A,167.179.84[.]162,,,80,,,,,
46,,JPCERT-EW-APT-202103-A,108.160.128[.]207,,,80,,,,,
47,,JPCERT-EW-APT-202106-A,167.179.111[.]142,,,80,,,,,
48,,,,,,,,,,,
49,,,,,,,,,,,
50,,,,,,,,,,,
51,,,,,,,,,,,
52,,,,,,,,,,,
53,,,,,,,,,,,
54,,,,,,,,,,,
55,,,,,,,,,,,
56,,,,,,,,,,,
57,,,,,,,,,,,
58,,,,,,,,,,,
59,,,,,,,,,,,
60,,,,,,,,,,,
61,,,,,,,,,,,
62,,,,,,,,,,,
63,,,,,,,,,,,
64,,,,,,,,,,,
65,,,,,,,,,,,
66,,,,,,,,,,,
67,,,,,,,,,,,
68,,,,,,,,,,,
69,,,,,,,,,,,
70,,,,,,,,,,,
71,,,,,,,,,,,
72,,,,,,,,,,,
73,,,,,,,,,,,
74,,,,,,,,,,,
75,,,,,,,,,,,
76,,,,,,,,,,,
77,,,,,,,,,,,
78,,,,,,,,,,,
79,,,,,,,,,,,
80,,,,,,,,,,,
81,,,,,,,,,,,
82,,,,,,,,,,,
83,,,,,,,,,,,
84,,,,,,,,,,,
85,,,,,,,,,,,
86,,,,,,,,,,,
87,,,,,,,,,,,
88,,,,,,,,,,,
89,,,,,,,,,,,
90,,,,,,,,,,,
91,,,,,,,,,,,
92,,,,,,,,,,,
93,,,,,,,,,,,
94,,,,,,,,,,,
95,,,,,,,,,,,
96,,,,,,,,,,,
97,,,,,,,,,,,
98,,,,,,,,,,,
99,,,,,,,,,,,
100,,,,,,,,,,,
